update,mean_coopval,mean_foodval,count
223,0.5,300,1
224,0.5,300,1
225,0.5,300,1
226,0.5,300,1
227,0.5,300,1
228,0.5,300,1
229,0.5,300,1
230,0.5,300,1
231,0.5,300,1
232,0.5,300,1
233,0.5,300,1
234,0.5,300,1
235,0.5,300,1
236,0.5,300,1
237,0.5,300,1
238,0.5,300,1
239,0.5,300,1
240,0.5,300,1
241,0.5,300,1
242,0.5,300,1
243,0.5,300,1
244,0.5,300,1
245,0.5,300,1
246,0.5,300,1
247,0.5,300,1
248,0.5,300,1
249,0.5,300,1
250,0.5,300,1
251,0.5,300,1
252,0.5,300,1
253,0.5,300,1
254,0.5,300,1
255,0.5,300,1
256,0.5,300,1
257,0.5,300,1
258,0.5,300,1
259,0.5,300,1
260,0.5,300,1
261,0.5,300,1
262,0.5,300,1
263,0.5,300,1
264,0.5,300,1
265,0.5,300,1
266,0.5,300,1
267,0.5,300,1
268,0.5,300,1
269,0.5,300,1
270,0.5,300,1
271,0.5,300,1
272,0.5,300,1
273,0.5,300,1
274,0.5,300,1
275,0.5,300,1
276,0.5,300,1
277,0.5,300,1
278,0.5,300,1
279,0.5,300,1
280,0.5,300,1
281,0.5,300,1
282,0.5,300,1
283,0.5,300,1
284,0.5,300,1
285,0.5,300,1
286,0.5,300,1
287,0.5,300,1
288,0.5,300,1
289,0.5,300,1
290,0.5,300,1
291,0.5,300,1
292,0.5,300,1
293,0.5,300,1
294,0.5,300,1
295,0.5,300,1
296,0.5,300,1
297,0.5,300,1
298,0.5,300,1
299,0.5,300,1
300,0.5,300,1
301,0.5,300,1
302,0.5,300,1
303,0.5,300,1
304,0.5,300,1
305,0.5,300,1
306,0.5,300,1
307,0.5,300,1
308,0.5,300,1
309,0.5,300,1
310,0.5,300,1
311,0.5,300,1
312,0.5,300,1
313,0.5,300,1
314,0.5,300,1
315,0.5,300,1
316,0.5,300,1
317,0.5,300,1
318,0.5,300,1
319,0.5,300,1
320,0.5,300,1
321,0.5,300,1
322,0.5,300,1
323,0.5,300,1
324,0.5,300,1
325,0.5,300,1
326,0.5,300,1
327,0.5,300,1
328,0.5,300,1
329,0.5,300,1
330,0.5,300,1
331,0.5,300,1
332,0.5,300,1
333,0.5,300,1
334,0.5,300,1
335,0.5,300,1
336,0.5,300,1
337,0.5,300,1
338,0.5,300,1
339,0.5,300,1
340,0.5,300,1
341,0.5,300,1
342,0.5,300,1
343,0.5,300,1
344,0.5,300,1
345,0.5,300,1
346,0.5,300,1
347,0.5,300,1
348,0.5,300,1
349,0.5,300,1
350,0.5,300,1
351,0.5,300,1
352,0.5,300,1
353,0.5,300,1
354,0.5,300,1
355,0.5,300,1
356,0.5,300,1
357,0.5,300,1
358,0.5,300,1
359,0.5,300,1
360,0.5,300,1
361,0.5,300,1
362,0.5,300,1
363,0.5,300,1
364,0.5,300,1
365,0.5,300,1
366,0.5,300,1
367,0.5,300,1
368,0.5,300,1
369,0.5,300,1
370,0.5,300,1
371,0.5,300,1
372,0.5,300,1
373,0.5,300,1
374,0.5,300,1
375,0.5,300,1
376,0.5,300,1
377,0.5,300,1
378,0.5,300,1
379,0.5,300,1
380,0.5,300,1
381,0.5,300,1
382,0.5,300,1
383,0.5,300,1
384,0.5,300,1
